name,count
Energic,66
Happy,44
Astonished/Aroused,28
Convinced,26
Sad,25
Impatient,23
Frustrated,22
Delighted,19
Tense/Alarmed/Afraid,18
Excited,17
Angry,10
Interested,10
Distrustful,9
Discontented,7
Neutral,6
Miserable/Disappointed/Startled,6
Uncomfortable,4
Pleased,4
Worried,3
Distressed,2
Confident,2
Depressed/Gloomy,2
Calm,1
Tired/Sleepy,1
Droopy,1
