type,a,b,r,n
feature_vs_descriptor,brightness_score_v1,centroid,0.919824,140
feature_vs_descriptor,brightness_score_v1,roll_off,0.897303,140
feature_vs_descriptor,pulse_score_v1,complexity,-0.895271,140
feature_vs_descriptor,pulse_score_v1,pulse_clarity,0.890599,140
feature_vs_descriptor,energy_score_v1,intensity,0.886621,140
feature_vs_descriptor,energy_score_v1,arousal,0.870739,140
feature_vs_descriptor,energy_score_v1,loudness,0.861565,140
feature_vs_descriptor,brightness_score_v1,flatness,0.840768,140
feature_vs_descriptor,vocal_presence_score_v1,vocal_instrumental,0.829445,140
feature_vs_descriptor,pulse_score_v1,rhythmic_stability,0.822196,140
feature_vs_descriptor,brightness_score_v1,brightness,0.818939,140
feature_vs_descriptor,density_score_v1,complexity,0.792624,140
feature_vs_feature,pulse_score_v1,density_score_v1,-0.769657,140
feature_vs_descriptor,energy_score_v1,pulse_clarity,0.746454,140
feature_vs_descriptor,pulse_score_v1,danceability,0.740899,140
feature_vs_feature,energy_score_v1,pulse_score_v1,0.702706,140
feature_vs_descriptor,brightness_score_v1,spread,0.6895,140
feature_vs_descriptor,energy_score_v1,rhythmic_stability,0.621661,140
feature_vs_descriptor,density_score_v1,danceability,-0.608025,140
feature_vs_descriptor,density_score_v1,rhythmic_stability,-0.602313,140
feature_vs_descriptor,energy_score_v1,complexity,-0.600577,140
feature_vs_descriptor,density_score_v1,pulse_clarity,-0.599879,140
feature_vs_descriptor,density_score_v1,event_density,0.560795,140
feature_vs_descriptor,brightness_score_v1,arousal,0.53882,140
feature_vs_descriptor,energy_score_v1,centroid,0.502893,140
feature_vs_descriptor,pulse_score_v1,intensity,0.486911,140
feature_vs_descriptor,energy_score_v1,flatness,0.47062,140
feature_vs_feature,energy_score_v1,brightness_score_v1,0.466635,140
feature_vs_descriptor,vocal_presence_score_v1,music_speech,0.465599,140
feature_vs_descriptor,pulse_score_v1,arousal,0.457323,140
feature_vs_descriptor,energy_score_v1,loudness_range,-0.434762,140
feature_vs_descriptor,pulse_score_v1,flatness,0.429827,140
feature_vs_descriptor,pulse_score_v1,spread,0.417362,140
feature_vs_descriptor,pulse_score_v1,centroid,0.414873,140
feature_vs_descriptor,pulse_score_v1,loudness,0.380545,140
feature_vs_descriptor,pulse_score_v1,loudness_range,-0.380055,140
feature_vs_descriptor,brightness_score_v1,loudness,0.3575,140
feature_vs_descriptor,energy_score_v1,roll_off,0.348912,140
feature_vs_feature,energy_score_v1,density_score_v1,-0.347334,140
feature_vs_descriptor,energy_score_v1,spread,0.342025,140
feature_vs_descriptor,energy_score_v1,danceability,0.31807,140
feature_vs_descriptor,brightness_score_v1,intensity,0.314505,140
feature_vs_descriptor,brightness_score_v1,pulse_clarity,0.306402,140
feature_vs_descriptor,energy_score_v1,brightness,0.297308,140
feature_vs_descriptor,energy_score_v1,event_density,0.289885,140
feature_vs_descriptor,density_score_v1,loudness_range,0.271296,140
feature_vs_feature,brightness_score_v1,pulse_score_v1,0.244262,140
feature_vs_descriptor,brightness_score_v1,vocal_instrumental,-0.235659,140
feature_vs_descriptor,brightness_score_v1,complexity,-0.213676,140
feature_vs_descriptor,vocal_presence_score_v1,event_density,0.210856,140
feature_vs_descriptor,density_score_v1,intensity,-0.208264,140
feature_vs_descriptor,brightness_score_v1,music_speech,0.202103,140
feature_vs_descriptor,density_score_v1,brightness,0.18655,140
feature_vs_descriptor,brightness_score_v1,rhythmic_stability,0.18166,140
feature_vs_descriptor,vocal_presence_score_v1,complexity,-0.178306,140
feature_vs_descriptor,energy_score_v1,music_speech,0.155545,140
feature_vs_descriptor,brightness_score_v1,loudness_range,-0.153251,140
feature_vs_descriptor,pulse_score_v1,event_density,-0.150905,140
feature_vs_descriptor,density_score_v1,roll_off,0.149428,140
feature_vs_descriptor,density_score_v1,music_speech,0.142328,140
feature_vs_descriptor,density_score_v1,loudness,-0.139636,140
feature_vs_descriptor,density_score_v1,vocal_instrumental,-0.138186,140
feature_vs_descriptor,vocal_presence_score_v1,spread,-0.134527,140
feature_vs_descriptor,vocal_presence_score_v1,centroid,-0.132088,140
feature_vs_descriptor,vocal_presence_score_v1,intensity,0.121359,140
feature_vs_descriptor,vocal_presence_score_v1,pulse_clarity,0.116134,140
feature_vs_descriptor,vocal_presence_score_v1,arousal,-0.115213,140
feature_vs_descriptor,vocal_presence_score_v1,loudness,-0.110488,140
feature_vs_descriptor,vocal_presence_score_v1,flatness,-0.105856,140
feature_vs_descriptor,density_score_v1,arousal,-0.101646,140
feature_vs_descriptor,pulse_score_v1,music_speech,0.099886,140
feature_vs_descriptor,vocal_presence_score_v1,loudness_range,0.097588,140
feature_vs_feature,brightness_score_v1,vocal_presence_score_v1,-0.09623,140
feature_vs_feature,pulse_score_v1,vocal_presence_score_v1,0.095077,140
feature_vs_descriptor,vocal_presence_score_v1,brightness,-0.082491,140
feature_vs_descriptor,energy_score_v1,vocal_instrumental,-0.07646,140
feature_vs_descriptor,brightness_score_v1,danceability,0.070114,140
feature_vs_descriptor,brightness_score_v1,event_density,0.066524,140
feature_vs_feature,brightness_score_v1,density_score_v1,0.066338,140
feature_vs_descriptor,density_score_v1,spread,-0.063612,140
feature_vs_descriptor,density_score_v1,flatness,-0.061578,140
feature_vs_descriptor,vocal_presence_score_v1,rhythmic_stability,-0.052468,140
feature_vs_descriptor,vocal_presence_score_v1,danceability,0.052192,140
feature_vs_descriptor,pulse_score_v1,brightness,-0.051097,140
feature_vs_descriptor,pulse_score_v1,roll_off,0.047334,140
feature_vs_descriptor,pulse_score_v1,vocal_instrumental,0.043756,140
feature_vs_feature,vocal_presence_score_v1,density_score_v1,-0.043044,140
feature_vs_descriptor,density_score_v1,centroid,-0.03943,140
feature_vs_feature,energy_score_v1,vocal_presence_score_v1,0.019333,140
feature_vs_descriptor,vocal_presence_score_v1,roll_off,-0.01399,140
