featureName,count,missing,min,max,mean,median,std,p05,p25,p50,p75,p95,uniqueValues,possibleCollapse
energy_score_v1,88,0,0.15575258067174524,0.9599871473586996,0.546755,0.571049,0.169399,0.233083,0.429924,0.571049,0.646654,0.812727,88,false
brightness_score_v1,88,0,0.047971843130897474,0.9881699436431057,0.444686,0.435026,0.17921,0.189845,0.328142,0.435026,0.563262,0.691257,88,false
pulse_score_v1,88,0,0.0764032074507497,0.9263731518457089,0.576929,0.604803,0.200464,0.214115,0.449221,0.604803,0.724702,0.862151,88,false
vocal_presence_score_v1,88,0,0.0025353196251223947,0.6404192579447482,0.198369,0.138916,0.157069,0.039947,0.075538,0.138916,0.297342,0.490709,88,false
density_score_v1,88,0,0.17285502111499784,0.6803994038188715,0.413642,0.403669,0.106693,0.259849,0.344419,0.403669,0.472932,0.612755,88,false
